contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid_price,relative_spread,market_price,price_source,calculated_iv,expiry,option_type,time_to_expiry,underlying_price,moneyness
SPY260922C00700000,2026-09-14 15:24:46+00:00,700.0,60.61,56.32,60.26,0.0,0.0,2.0,81.0,0.4523980541992188,True,REGULAR,USD,58.29,0.06759306913707322,58.29,mid,0.3062805956602097,2026-09-22,call,0.019178082191780823,757.3900146484375,0.9242266024921433
SPY260922C00705000,2026-09-15 18:56:49+00:00,705.0,52.07,51.33,55.28,-2.040001,-3.7700996,1.0,134.0,0.4237118176269531,True,REGULAR,USD,53.305,0.07410186661664014,53.305,mid,0.2847766107320785,2026-09-22,call,0.019178082191780823,757.3900146484375,0.9308282210813729
SPY260922C00710000,2026-09-15 15:15:23+00:00,710.0,47.15,46.37,50.31,-2.949997,-5.8882174,2.0,284.0,0.3952086846923829,True,REGULAR,USD,48.34,0.08150599917252802,48.34,mid,0.2654054760932922,2026-09-22,call,0.019178082191780823,757.3900146484375,0.9374298396706024
SPY260922C00715000,2026-09-11 18:19:13+00:00,715.0,51.15,41.4,45.39,0.0,0.0,,207.0,0.36829244995117194,True,REGULAR,USD,43.394999999999996,0.09194607673695132,43.394999999999996,mid,0.24737202018499377,2026-09-22,call,0.019178082191780823,757.3900146484375,0.944031458259832
SPY260922C00718000,2026-09-14 19:02:40+00:00,718.0,44.82,38.44,42.26,0.0,0.0,2.0,1.0,0.34479414978027345,True,REGULAR,USD,40.349999999999994,0.09467162329615864,40.349999999999994,mid,0.2279909217357635,2026-09-22,call,0.019178082191780823,757.3900146484375,0.9479924294133698
SPY260922C00720000,2026-09-15 15:55:54+00:00,720.0,37.62,36.47,40.29,-7.3899994,-16.418573,4.0,112.0,0.33374689697265625,True,REGULAR,USD,38.379999999999995,0.09953100573215218,38.379999999999995,mid,0.22134193718433381,2026-09-22,call,0.019178082191780823,757.3900146484375,0.9506330768490616
SPY260922C00722000,2026-09-10 18:10:07+00:00,722.0,37.09,34.5,38.39,0.0,0.0,,1.0,0.3251410260009765,True,REGULAR,USD,36.445,0.10673617780216767,36.445,mid,0.21758691906929015,2026-09-22,call,0.019178082191780823,757.3900146484375,0.9532737242847534
SPY260922C00724000,2026-09-14 18:07:01+00:00,724.0,38.7,32.53,36.37,0.0,0.0,2.0,2.0,0.31189652954101554,True,REGULAR,USD,34.45,0.11146589259796795,34.45,mid,0.20797526240348815,2026-09-22,call,0.019178082191780823,757.3900146484375,0.9559143717204454
SPY260922C00725000,2026-09-14 15:33:57+00:00,725.0,36.0,31.55,35.4,0.0,0.0,4.0,79.0,0.3067085931396484,True,REGULAR,USD,33.475,0.1150112023898431,33.475,mid,0.20503816902637478,2026-09-22,call,0.019178082191780823,757.3900146484375,0.9572346954382912
SPY260922C00726000,2026-09-14 15:45:25+00:00,726.0,36.39,30.66,34.41,0.0,0.0,2.0,1.0,0.30072720764160155,True,REGULAR,USD,32.535,0.11526048870447202,32.535,mid,0.20472720891237262,2026-09-22,call,0.019178082191780823,757.3900146484375,0.9585550191561372
