contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid_price,relative_spread,market_price,price_source,calculated_iv
SPY260922P00550000,2026-09-14 14:21:34+00:00,550.0,0.03,0.02,0.03,0.0,0.0,20.0,25.0,0.7187528125,False,REGULAR,USD,0.025,0.3999999999999999,0.025,mid,0.7689082471847535
SPY260922P00590000,2026-09-11 17:30:31+00:00,590.0,0.05,0.04,0.05,0.0,0.0,,1.0,0.6015664843750002,False,REGULAR,USD,0.045,0.22222222222222227,0.045,mid,0.6458080442905427
SPY260922P00625000,2026-09-15 15:30:49+00:00,625.0,0.08,0.08,0.09,0.02,33.333336,56.0,6.0,0.506840869140625,False,REGULAR,USD,0.08499999999999999,0.11764705882352937,0.08499999999999999,mid,0.5437490522623063
SPY260922P00630000,2026-09-15 14:19:48+00:00,630.0,0.08,0.08,0.09,0.009999998,14.285711,15.0,16.0,0.49121602539062503,False,REGULAR,USD,0.08499999999999999,0.11764705882352937,0.08499999999999999,mid,0.5235065276622773
SPY260922P00640000,2026-09-15 17:17:06+00:00,640.0,0.1,0.1,0.11,0.020000003,25.000004,755.0,3.0,0.463872548828125,False,REGULAR,USD,0.10500000000000001,0.09523809523809518,0.10500000000000001,mid,0.4951293238401413
SPY260922P00655000,2026-09-15 14:18:57+00:00,655.0,0.11,0.12,0.13,-0.009999998,-8.333331,1.0,185.0,0.415044912109375,False,REGULAR,USD,0.125,0.08000000000000007,0.125,mid,0.4435329989910125
SPY260922P00665000,2026-09-11 19:12:47+00:00,665.0,0.14,0.14,0.15,0.0,0.0,,197.0,0.383795224609375,False,REGULAR,USD,0.14500000000000002,0.06896551724137917,0.14500000000000002,mid,0.4102748684287072
SPY260922P00670000,2026-09-15 17:17:06+00:00,670.0,0.16,0.16,0.17,-0.010000005,-5.8823557,266.0,75.0,0.370123486328125,False,REGULAR,USD,0.165,0.060606060606060656,0.165,mid,0.39627401739358903
SPY260922P00680000,2026-09-15 17:17:08+00:00,680.0,0.19,0.19,0.2,0.00999999,5.55555,298.0,11.0,0.33838552246093745,False,REGULAR,USD,0.195,0.05128205128205133,0.195,mid,0.3627619761228561
SPY260922P00690000,2026-09-15 16:44:20+00:00,690.0,0.23,0.23,0.24,0.02000001,9.523814,1015.0,255.0,0.30664755859375,False,REGULAR,USD,0.235,0.042553191489361625,0.235,mid,0.32920255010724064
