contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY261023C00695000,2026-09-08 15:03:21+00:00,695.0,76.48,0.0,0.0,0.0,0.0,1,18,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00700000,2026-09-09 15:35:51+00:00,700.0,66.63,0.0,0.0,0.0,0.0,3,5,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00705000,2026-09-09 19:55:20+00:00,705.0,62.23,0.0,0.0,0.0,0.0,1,4,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00710000,2026-09-09 15:00:26+00:00,710.0,58.91,0.0,0.0,0.0,0.0,1,7,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00715000,2026-09-08 17:29:03+00:00,715.0,57.48,0.0,0.0,0.0,0.0,2,9,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00721000,2026-09-08 13:51:25+00:00,721.0,52.21,0.0,0.0,0.0,0.0,2,7,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00729000,2026-09-04 16:06:14+00:00,729.0,47.5,0.0,0.0,0.0,0.0,2,2,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00735000,2026-09-08 15:20:13+00:00,735.0,40.57,0.0,0.0,0.0,0.0,2,10,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00742000,2026-09-09 15:59:18+00:00,742.0,29.8,0.0,0.0,0.0,0.0,1,9,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00750000,2026-09-09 17:25:34+00:00,750.0,24.27,0.0,0.0,0.0,0.0,3,87,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00754000,2026-09-09 15:12:49+00:00,754.0,20.37,0.0,0.0,0.0,0.0,1,7,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00755000,2026-09-09 17:06:52+00:00,755.0,20.42,0.0,0.0,0.0,0.0,1,6,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00757000,2026-09-09 15:53:41+00:00,757.0,18.89,0.0,0.0,0.0,0.0,4,5,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00758000,2026-09-09 18:41:12+00:00,758.0,18.59,0.0,0.0,0.0,0.0,1,3,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00759000,2026-09-09 19:03:36+00:00,759.0,17.68,0.0,0.0,0.0,0.0,1,9,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00760000,2026-09-09 19:59:02+00:00,760.0,16.97,0.0,0.0,0.0,0.0,223,85,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00761000,2026-09-09 19:12:16+00:00,761.0,16.58,0.0,0.0,0.0,0.0,9,6,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00762000,2026-09-09 19:52:37+00:00,762.0,15.68,0.0,0.0,0.0,0.0,26,17,1.0000000000000003e-05,True,REGULAR,USD
SPY261023C00763000,2026-09-09 20:02:44+00:00,763.0,15.07,0.0,0.0,0.0,0.0,40,10,0.0004982763671875,False,REGULAR,USD
SPY261023C00764000,2026-09-09 20:04:41+00:00,764.0,14.38,0.0,0.0,0.0,0.0,139,119,0.00196310546875,False,REGULAR,USD
SPY261023C00765000,2026-09-09 20:03:36+00:00,765.0,13.8,0.0,0.0,0.0,0.0,486,886,0.00196310546875,False,REGULAR,USD
SPY261023C00766000,2026-09-09 19:59:02+00:00,766.0,13.25,0.0,0.0,0.0,0.0,71,28,0.0039162109375,False,REGULAR,USD
SPY261023C00767000,2026-09-09 17:55:27+00:00,767.0,13.07,0.0,0.0,0.0,0.0,13,39,0.0039162109375,False,REGULAR,USD
SPY261023C00768000,2026-09-09 19:34:36+00:00,768.0,12.4,0.0,0.0,0.0,0.0,28,1559,0.0039162109375,False,REGULAR,USD
SPY261023C00769000,2026-09-09 19:59:44+00:00,769.0,11.6,0.0,0.0,0.0,0.0,32,33,0.007822421875,False,REGULAR,USD
SPY261023C00770000,2026-09-09 19:46:10+00:00,770.0,11.22,0.0,0.0,0.0,0.0,78,1521,0.007822421875,False,REGULAR,USD
SPY261023C00771000,2026-09-09 19:44:32+00:00,771.0,10.71,0.0,0.0,0.0,0.0,23,75,0.007822421875,False,REGULAR,USD
SPY261023C00772000,2026-09-09 19:54:30+00:00,772.0,10.17,0.0,0.0,0.0,0.0,9,31,0.007822421875,False,REGULAR,USD
SPY261023C00773000,2026-09-09 19:34:36+00:00,773.0,9.82,0.0,0.0,0.0,0.0,7,21,0.007822421875,False,REGULAR,USD
SPY261023C00774000,2026-09-09 17:53:59+00:00,774.0,9.46,0.0,0.0,0.0,0.0,14,88,0.007822421875,False,REGULAR,USD
SPY261023C00775000,2026-09-09 17:53:59+00:00,775.0,9.0,0.0,0.0,0.0,0.0,232,307,0.007822421875,False,REGULAR,USD
SPY261023C00776000,2026-09-09 17:43:29+00:00,776.0,8.36,0.0,0.0,0.0,0.0,12,56,0.015634843750000002,False,REGULAR,USD
SPY261023C00777000,2026-09-09 17:14:52+00:00,777.0,8.12,0.0,0.0,0.0,0.0,12,22,0.015634843750000002,False,REGULAR,USD
SPY261023C00778000,2026-09-09 16:21:07+00:00,778.0,7.16,0.0,0.0,0.0,0.0,13,101,0.015634843750000002,False,REGULAR,USD
SPY261023C00779000,2026-09-09 16:30:40+00:00,779.0,6.86,0.0,0.0,0.0,0.0,24,205,0.015634843750000002,False,REGULAR,USD
SPY261023C00780000,2026-09-09 20:13:21+00:00,780.0,6.68,0.0,0.0,0.0,0.0,94,160,0.015634843750000002,False,REGULAR,USD
SPY261023C00781000,2026-09-09 16:50:03+00:00,781.0,6.36,0.0,0.0,0.0,0.0,11,20,0.015634843750000002,False,REGULAR,USD
SPY261023C00782000,2026-09-09 20:14:19+00:00,782.0,5.96,0.0,0.0,0.0,0.0,72,97,0.015634843750000002,False,REGULAR,USD
SPY261023C00783000,2026-09-09 19:46:10+00:00,783.0,5.66,0.0,0.0,0.0,0.0,8,13,0.015634843750000002,False,REGULAR,USD
SPY261023C00784000,2026-09-09 19:03:36+00:00,784.0,5.31,0.0,0.0,0.0,0.0,11,10,0.015634843750000002,False,REGULAR,USD
SPY261023C00786000,2026-09-09 19:15:50+00:00,786.0,4.81,0.0,0.0,0.0,0.0,9,18,0.015634843750000002,False,REGULAR,USD
SPY261023C00787000,2026-09-09 19:43:29+00:00,787.0,4.41,0.0,0.0,0.0,0.0,6,10,0.015634843750000002,False,REGULAR,USD
SPY261023C00788000,2026-09-09 19:40:49+00:00,788.0,4.17,0.0,0.0,0.0,0.0,7,27,0.015634843750000002,False,REGULAR,USD
SPY261023C00789000,2026-09-09 17:45:33+00:00,789.0,3.97,0.0,0.0,0.0,0.0,3,11,0.015634843750000002,False,REGULAR,USD
SPY261023C00790000,2026-09-09 20:07:17+00:00,790.0,3.65,0.0,0.0,0.0,0.0,53,139,0.015634843750000002,False,REGULAR,USD
SPY261023C00792000,2026-09-09 20:00:46+00:00,792.0,3.16,0.0,0.0,0.0,0.0,159,153,0.0312596875,False,REGULAR,USD
SPY261023C00793000,2026-09-09 19:30:12+00:00,793.0,3.04,0.0,0.0,0.0,0.0,31,47,0.0312596875,False,REGULAR,USD
SPY261023C00794000,2026-09-09 19:02:51+00:00,794.0,2.79,0.0,0.0,0.0,0.0,4,41,0.0312596875,False,REGULAR,USD
SPY261023C00795000,2026-09-09 20:11:52+00:00,795.0,2.61,0.0,0.0,0.0,0.0,20,78,0.0312596875,False,REGULAR,USD
SPY261023C00796000,2026-09-09 20:08:02+00:00,796.0,2.42,0.0,0.0,0.0,0.0,16,127,0.0312596875,False,REGULAR,USD
SPY261023C00797000,2026-09-09 20:07:53+00:00,797.0,2.25,0.0,0.0,0.0,0.0,76,78,0.0312596875,False,REGULAR,USD
SPY261023C00798000,2026-09-09 20:00:46+00:00,798.0,2.09,0.0,0.0,0.0,0.0,12,104,0.0312596875,False,REGULAR,USD
SPY261023C00799000,2026-09-09 17:46:18+00:00,799.0,2.02,0.0,0.0,0.0,0.0,4,79,0.0312596875,False,REGULAR,USD
SPY261023C00800000,2026-09-09 20:03:14+00:00,800.0,1.8,0.0,0.0,0.0,0.0,1325,493,0.0312596875,False,REGULAR,USD
SPY261023C00801000,2026-09-09 20:08:02+00:00,801.0,1.7,0.0,0.0,0.0,0.0,14,127,0.0312596875,False,REGULAR,USD
SPY261023C00802000,2026-09-09 19:51:51+00:00,802.0,1.56,0.0,0.0,0.0,0.0,18,44,0.0312596875,False,REGULAR,USD
SPY261023C00803000,2026-09-09 16:26:48+00:00,803.0,1.44,0.0,0.0,0.0,0.0,30,34,0.0312596875,False,REGULAR,USD
SPY261023C00804000,2026-09-09 20:10:22+00:00,804.0,1.37,0.0,0.0,0.0,0.0,27,49,0.0312596875,False,REGULAR,USD
SPY261023C00805000,2026-09-09 19:19:18+00:00,805.0,1.33,0.0,0.0,0.0,0.0,33,142,0.0312596875,False,REGULAR,USD
SPY261023C00806000,2026-09-09 20:13:59+00:00,806.0,1.16,0.0,0.0,0.0,0.0,24,35,0.0312596875,False,REGULAR,USD
SPY261023C00809000,2026-09-09 17:54:51+00:00,809.0,0.99,0.0,0.0,0.0,0.0,5,13,0.0312596875,False,REGULAR,USD
SPY261023C00810000,2026-09-09 20:01:47+00:00,810.0,0.87,0.0,0.0,0.0,0.0,127,132,0.0312596875,False,REGULAR,USD
