contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY261023P00500000,2026-09-09 14:41:42+00:00,500.0,0.19,0.0,0.0,0.0,0.0,2,141,0.2500075,False,REGULAR,USD
SPY261023P00540000,2026-09-04 13:46:37+00:00,540.0,0.25,0.0,0.0,0.0,0.0,2,2,0.2500075,False,REGULAR,USD
SPY261023P00555000,2026-09-04 15:48:28+00:00,555.0,0.3,0.0,0.0,0.0,0.0,1,1,0.12500875,False,REGULAR,USD
SPY261023P00560000,2026-09-09 15:38:08+00:00,560.0,0.4,0.0,0.0,0.0,0.0,1,4,0.12500875,False,REGULAR,USD
SPY261023P00570000,2026-09-04 19:49:55+00:00,570.0,0.4,0.0,0.0,0.0,0.0,2,2,0.12500875,False,REGULAR,USD
SPY261023P00575000,2026-09-09 14:26:12+00:00,575.0,0.46,0.0,0.0,0.0,0.0,1,6,0.12500875,False,REGULAR,USD
SPY261023P00580000,2026-09-09 15:50:41+00:00,580.0,0.5,0.0,0.0,0.0,0.0,3,6,0.12500875,False,REGULAR,USD
SPY261023P00605000,2026-09-09 19:59:24+00:00,605.0,0.69,0.0,0.0,0.0,0.0,3,135,0.12500875,False,REGULAR,USD
SPY261023P00610000,2026-09-09 20:04:21+00:00,610.0,0.74,0.0,0.0,0.0,0.0,30,45,0.12500875,False,REGULAR,USD
SPY261023P00620000,2026-09-09 19:44:47+00:00,620.0,0.8,0.0,0.0,0.0,0.0,60,86,0.12500875,False,REGULAR,USD
SPY261023P00630000,2026-09-09 19:58:20+00:00,630.0,0.94,0.0,0.0,0.0,0.0,16,18,0.12500875,False,REGULAR,USD
SPY261023P00635000,2026-09-09 17:25:01+00:00,635.0,0.94,0.0,0.0,0.0,0.0,2,12,0.12500875,False,REGULAR,USD
SPY261023P00640000,2026-09-09 17:31:15+00:00,640.0,1.02,0.0,0.0,0.0,0.0,21,20,0.12500875,False,REGULAR,USD
SPY261023P00645000,2026-09-09 15:56:22+00:00,645.0,1.12,0.0,0.0,0.0,0.0,2,8,0.12500875,False,REGULAR,USD
SPY261023P00650000,2026-09-09 18:59:49+00:00,650.0,1.16,0.0,0.0,0.0,0.0,36,96,0.12500875,False,REGULAR,USD
SPY261023P00655000,2026-09-09 15:02:48+00:00,655.0,1.25,0.0,0.0,0.0,0.0,2,16,0.062509375,False,REGULAR,USD
SPY261023P00660000,2026-09-09 19:51:05+00:00,660.0,1.4,0.0,0.0,0.0,0.0,28,37,0.062509375,False,REGULAR,USD
SPY261023P00665000,2026-09-09 17:54:51+00:00,665.0,1.45,0.0,0.0,0.0,0.0,8,25,0.062509375,False,REGULAR,USD
SPY261023P00670000,2026-09-09 19:47:23+00:00,670.0,1.64,0.0,0.0,0.0,0.0,29,66,0.062509375,False,REGULAR,USD
SPY261023P00675000,2026-09-09 19:54:14+00:00,675.0,1.8,0.0,0.0,0.0,0.0,3,432,0.062509375,False,REGULAR,USD
SPY261023P00680000,2026-09-09 19:19:18+00:00,680.0,1.89,0.0,0.0,0.0,0.0,78,517,0.062509375,False,REGULAR,USD
SPY261023P00685000,2026-09-09 20:07:41+00:00,685.0,2.19,0.0,0.0,0.0,0.0,40,26,0.062509375,False,REGULAR,USD
SPY261023P00690000,2026-09-09 20:07:41+00:00,690.0,2.38,0.0,0.0,0.0,0.0,88,243,0.062509375,False,REGULAR,USD
SPY261023P00695000,2026-09-09 19:44:47+00:00,695.0,2.56,0.0,0.0,0.0,0.0,35,160,0.062509375,False,REGULAR,USD
SPY261023P00700000,2026-09-09 20:10:22+00:00,700.0,2.88,0.0,0.0,0.0,0.0,214,294,0.062509375,False,REGULAR,USD
SPY261023P00705000,2026-09-09 19:59:24+00:00,705.0,3.18,0.0,0.0,0.0,0.0,67,165,0.062509375,False,REGULAR,USD
